year,month,rainfall,Flood
1943,Jan,28.06,0
1943,Feb,42.956,0
1943,Mar,0,0
1943,Apr,31.364,0
1943,May,112.877,0
1943,Jun,41.314,0
1943,Jul,99.711,0
1943,Aug,129.537,0
1943,Sep,82.765,0
1943,Oct,713.067,1
1943,Nov,245.2,0
1943,Dec,91.843,0
1944,Jan,10.952,0
1944,Feb,12.274,0
1944,Mar,36.343,0
1944,Apr,1.96,0
1944,May,4.018,0
1944,Jun,95.451,0
1944,Jul,131.471,0
1944,Aug,162.332,0
1944,Sep,151.281,0
1944,Oct,225.935,0
1944,Nov,501.697,0
1944,Dec,256.462,0
1945,Jan,0.023,0
1945,Feb,0,0
1945,Mar,0.177,0
1945,Apr,28.103,0
1945,May,18.736,0
1945,Jun,14.9,0
1945,Jul,84.513,0
1945,Aug,180.119,0
1945,Sep,180.265,0
1945,Oct,92.357,0
1945,Nov,286.818,0
1945,Dec,11.359,0
1946,Jan,21.33,0
1946,Feb,35.464,0
1946,Mar,17.417,0
1946,Apr,7.06,0
1946,May,47.524,0
1946,Jun,49.676,0
1946,Jul,61.807,0
1946,Aug,141.717,0
1946,Sep,187.277,0
1946,Oct,212.728,0
1946,Nov,515.988,0
1946,Dec,640.322,0
1947,Jan,53.494,0
1947,Feb,6.998,0
1947,Mar,4.247,0
1947,Apr,11.401,0
1947,May,21.151,0
1947,Jun,49.113,0
1947,Jul,139.103,0
1947,Aug,82.994,0
1947,Sep,150.726,0
1947,Oct,181.568,0
1947,Nov,53.806,0
1947,Dec,26.28,0
1948,Jan,24.539,0
1948,Feb,7.155,0
1948,Mar,0,0
1948,Apr,11.98,0
1948,May,16.848,0
1948,Jun,18.064,0
1948,Jul,73.08,0
1948,Aug,79.121,0
1948,Sep,160.43,0
1948,Oct,180.97,0
1948,Nov,251.914,0
1948,Dec,66.494,0
1949,Jan,0.476,0
1949,Feb,0,0
1949,Mar,0,0
1949,Apr,26.557,0
1949,May,95.715,0
1949,Jun,107.251,0
1949,Jul,144.627,0
1949,Aug,174.901,0
1949,Sep,195.958,0
1949,Oct,121.344,0
1949,Nov,128.018,0
1949,Dec,1.435,0
1950,Jan,3.951,0
1950,Feb,22.474,0
1950,Mar,1.942,0
1950,Apr,0,0
1950,May,71.102,0
1950,Jun,35.924,0
1950,Jul,50.812,0
1950,Aug,164.689,0
1950,Sep,153.205,0
1950,Oct,164.338,0
1950,Nov,97.92,0
1950,Dec,8.135,0
1951,Jan,0.853,0
1951,Feb,0,0
1951,Mar,4.411,0
1951,Apr,49.034,0
1951,May,57.716,0
1951,Jun,37.244,0
1951,Jul,85.079,0
1951,Aug,151.237,0
1951,Sep,83.068,0
1951,Oct,88.393,0
1951,Nov,148.589,0
1951,Dec,1.964,0
1952,Jan,0.476,0
1952,Feb,37.705,0
1952,Mar,0,0
1952,Apr,2.593,0
1952,May,89.506,0
1952,Jun,23.155,0
1952,Jul,56.124,0
1952,Aug,142.341,0
1952,Sep,27.168,0
1952,Oct,117.307,0
1952,Nov,31.396,0
1952,Dec,345.53,0
1953,Jan,4.43,0
1953,Feb,12.799,0
1953,Mar,0,0
1953,Apr,15.561,0
1953,May,8.761,0
1953,Jun,38.204,0
1953,Jul,104.443,0
1953,Aug,71.531,0
1953,Sep,119.375,0
1953,Oct,460.934,0
1953,Nov,97.75,0
1953,Dec,29.963,0
1954,Jan,38.9,0
1954,Feb,0,0
1954,Mar,3.894,0
1954,Apr,1.441,0
1954,May,18.117,0
1954,Jun,12.355,0
1954,Jul,235.349,0
1954,Aug,83.583,0
1954,Sep,73.707,0
1954,Oct,254.031,0
1954,Nov,15.708,0
1954,Dec,243.203,0
1955,Jan,52.83,0
1955,Feb,3.867,0
1955,Mar,0,0
1955,Apr,46.499,0
1955,May,176.742,0
1955,Jun,40.232,0
1955,Jul,81.814,0
1955,Aug,197.118,0
1955,Sep,152.93,0
1955,Oct,199.817,0
1955,Nov,128.586,0
1955,Dec,118.53,0
1956,Jan,17.811,0
1956,Feb,1.047,0
1956,Mar,0,0
1956,Apr,34.035,0
1956,May,40.029,0
1956,Jun,98.174,0
1956,Jul,89.88,0
1956,Aug,177.516,0
1956,Sep,222.723,0
1956,Oct,252.923,0
1956,Nov,185.575,0
1956,Dec,138.19,0
1957,Jan,0.023,0
